towerid,Latitudine,Longitudine,active,eNb,seNb,status,type,Nomesito,contributo,Bande
CCQGYNIEYW,44.318917,9.315066,Attivo,200748,Non presente,Non verificato,0,Chiavari,SYSTEM,
DAFEQCTIHG,43.9170385,10.8766081,Attivo,200749,Non presente,Verificato,0,Pistoia,lucamonte,~B3~~B20~
WQTHHQFCKL,42.8442468,10.803055,Attivo,200750,Non presente,Non verificato,0,Scarlino,SYSTEM,
OPVSNQQIVH,42.716102,10.991979,Attivo,200751,Non presente,Non verificato,0,Grosseto,SYSTEM,
IVTUPYIYRN,43.7280683,10.621253,Attivo,200752,Non presente,Non verificato,0,Cascine-la Croce,SYSTEM,
HFLOTUWTDG,43.773114,11.262351,Attivo,200753,Non presente,Non verificato,0,Firenze,SYSTEM,
IQPHDRXQTJ,43.689692,10.33856,Attivo,200754,Non presente,Non verificato,0,Pisa,SYSTEM,
BNUKTBJBJL,42.7635396,11.111874,Attivo,200755,Non presente,Non verificato,0,Grosseto,SYSTEM,
VGATEYFSHR,43.6497066,10.452248,Attivo,200756,Non presente,Non verificato,0,Cascina,SYSTEM,
HWGIGIBSQV,43.3091158,10.529357,Attivo,200757,Non presente,Non verificato,0,Cecina,SYSTEM,
UPSRCMSLPE,44.031458,10.131179,Attivo,200758,Non presente,Verificato,0,MS-CARDUCCI,EBts-Mapper,~B3~
XLCKEDUBIQ,43.9415926,10.934422,Attivo,200759,Non presente,Non verificato,0,Pistoia,SYSTEM,
PODLBCNMDY,43.352491,10.470924,Attivo,200760,Non presente,Non verificato,0,Vada,SYSTEM,
QRDYWYMXAC,42.6819376,11.127119,Attivo,200761,Non presente,Non verificato,0,Grosseto,SYSTEM,
OHWIULGLUY,43.8836082,10.6416643,Attivo,200762,Non presente,Verificato,0,Capannori,lucamonte,~B3~~B20~
POMBDKJUGN,44.3720165,8.568847,Attivo,200763,Non presente,Non verificato,0,Varazze,SYSTEM,
RADBXYKFPH,43.521342,11.568329,Attivo,200764,Non presente,Non verificato,0,Montevarchi,SYSTEM,
CKFGYGWOWS,43.9654713,10.8935456,Attivo,200765,Non presente,Verificato,0,Pistoia,Leobwh,
YEFXQTVQAJ,42.741313,10.960417,Attivo,200766,Non presente,Non verificato,0,Grosseto,SYSTEM,
CUHVFGEVWV,42.8706715,11.073002,Attivo,200767,Non presente,Non verificato,0,Grosseto,SYSTEM,
KFOMEDBHUC,43.8282984,10.5031883,Attivo,200768,Non presente,Verificato,0,Lucca,lucamonte,~B3~~B20~
OYTEUEFOHK,43.830947,10.6428535,Attivo,200769,Non presente,Verificato,0,Turchetto,lucamonte,
EWAUAYYHXG,43.395769,10.431452,Attivo,200770,Non presente,Non verificato,0,Rosignano Solvay-Castiglioncello,SYSTEM,
WMAKAHGNFF,44.045085,10.079559,Attivo,200771,Non presente,Verificato,0,Carrara,EBts-Mapper,~B3~~B20~
EXQAIFACFT,44.0623375,10.038756,Non attivo,200772,Non presente,Non verificato,0,Carrara,SYSTEM,
SLBRJADVXX,44.034512,10.118732,Attivo,200773,200870,Verificato,0,Massa,EBts-Mapper,~B3~~B20~
GEILTAWBMO,44.055741,10.062114,Attivo,200774,Non presente,Verificato,0,CARRARA AURELIA,EBts-Mapper,~B3~
BDDGGXPHTE,43.6979923,10.507432,Attivo,200775,Non presente,Non verificato,0,Vicopisano,SYSTEM,
DCIJDEHUSC,43.87795,10.5931787,Attivo,200776,Non presente,Verificato,0,Capannori,lucamonte,~B3~~B20~
JOGHSXTFYN,42.7809754,11.114823,Attivo,200777,Non presente,Non verificato,0,Grosseto,SYSTEM,
QUOQBXNTEI,44.081301,10.091713,Attivo,200778,Non presente,Verificato,0,CARRARA CENTRO STORICO,EBts-Mapper,~B3~
JBVEMVWCNU,44.058143,10.043676,Attivo,200779,200772,Verificato,0,Carrara,EBts-Mapper,~B3~~B20~
JAAPAOUXGQ,43.8505106,10.5095383,Attivo,200780,Non presente,Verificato,0,Lucca,lucamonte,~B3~
BLFJAFDHWK,44.025864,10.111379,Attivo,200781,Non presente,Verificato,0,MASSA DORSALE,EBts-Mapper,~B3~~B20~
AXUWRNFALO,44.319135,9.313748,Attivo,200782,Non presente,Non verificato,0,Chiavari,SYSTEM,
LNAVDWYFCH,44.333148,9.209766,Attivo,200783,Non presente,Non verificato,0,Santa Margherita Ligure,SYSTEM,
YCVIUVUSCV,43.949,10.911565,Attivo,200784,Non presente,Non verificato,0,Pistoia,SYSTEM,
OAWEYWLEVQ,43.4710323,11.125854,Attivo,200785,Non presente,Non verificato,0,Poggibonsi,SYSTEM,
CFCFRFCVTQ,44.0912534,10.0051541,Attivo,200786,Non presente,Verificato,0,SP09 - MOLICCIARA,itreb,~B20~
KPVLNCKLND,44.3628165,8.577744,Attivo,200787,Non presente,Non verificato,0,Varazze,SYSTEM,
TPJEMQXAGU,44.359584,8.583706,Attivo,200788,Non presente,Non verificato,0,Varazze,SYSTEM,
UQHPVVRBGN,44.4106076,8.935352,Attivo,200789,Non presente,Non verificato,0,Genova,SYSTEM,
EJFRAUYUQE,44.347076,9.1570066,Attivo,200790,Non presente,Non verificato,0,Camogli,SYSTEM,
XVTRTNSSYA,42.771541,11.114376,Attivo,200791,Non presente,Non verificato,0,Grosseto,SYSTEM,
WVKCOUOJPY,43.512832,11.602914,Attivo,200792,Non presente,Non verificato,0,Montevarchi,SYSTEM,
BGVPXHODLN,43.5477233,11.564266,Attivo,200793,Non presente,Non verificato,0,Terranuova Bracciolini,SYSTEM,
YJCANTIJWC,43.696913,10.588203,Attivo,200794,Non presente,Non verificato,0,Vicopisano,SYSTEM,
GKWCGTGBOV,43.70448,10.378619,Attivo,200795,Non presente,Non verificato,0,Pisa,SYSTEM,
XEGJRTCCIB,43.8502878,10.4945307,Attivo,200796,Non presente,Verificato,0,Lucca,lucamonte,~B20~
NHUBGXNQOH,43.886313,10.768897,Attivo,200797,Non presente,Non verificato,0,Montecatini Terme,SYSTEM,
RERMTDJNGY,42.415198,11.376821,Attivo,200798,Non presente,Non verificato,0,Capalbio,SYSTEM,
FKMBNWYNMP,43.731206,11.016425,Attivo,200799,Non presente,Non verificato,0,Montelupo fiorentino,SYSTEM,
NAJPCKBJJR,43.530306,11.567283,Attivo,200800,Non presente,Non verificato,0,Montevarchi,SYSTEM,
EVAPPFMUFH,43.397752,10.452259,Attivo,200801,Non presente,Non verificato,0,Rosignano Solvay-Castiglioncello,SYSTEM,
UODTXJNYAU,43.8835096,11.052988,Attivo,200802,Non presente,Non verificato,0,Prato,SYSTEM,
XFDCQQAJLB,44.1083554,9.95565541,Attivo,200803,Non presente,Verificato,0,SP0D - SARZANA SUD FS,itreb,~B3~
RMUKPDSODM,44.424031,8.9205075,Attivo,200804,Non presente,Non verificato,0,Genova,SYSTEM,
QDWCIRCBHK,43.429207,11.079405,Attivo,200805,Non presente,Non verificato,0,Colle di Val D Elsa,SYSTEM,
XLGXVXYQQL,43.8453386,10.82515,Attivo,200806,Non presente,Non verificato,0,Monsummano Terme,SYSTEM,
XGGTLKGBVT,43.8828286,11.093788,Attivo,200807,Non presente,Non verificato,0,Prato,SYSTEM,
UMTUEJPOXR,43.8743366,11.109053,Attivo,200808,Non presente,Non verificato,0,Prato,SYSTEM,
QWUWHKBOCX,44.1119058,9.96098807,Attivo,200809,Non presente,Verificato,0,SP10 - SARZANA,itreb,~B20~
UQDEIPSXYQ,44.4151546,8.9533036,Attivo,200810,Non presente,Non verificato,0,Genova,SYSTEM,
HAMACYTUQD,44.19067,8.321301,Attivo,200811,Non presente,Non verificato,0,Finale ligure,SYSTEM,
RCPKECJDCB,43.9182356,10.9244769,Attivo,200812,Non presente,Verificato,0,Pistoia,Leobwh,
UWHULYPRYY,43.9637573,10.959472,Attivo,200813,Non presente,Non verificato,0,Pistoia,SYSTEM,
OPSPJPVAPV,43.4934263,11.617305,Attivo,200814,Non presente,Non verificato,0,Bucine,SYSTEM,
MRECWSGBSO,43.8540395,10.4017388,Attivo,200815,Non presente,Verificato,0,Lucca,lucamonte,~B20~
COCCDLLDYH,43.045781,11.820088,Attivo,200816,Non presente,Non verificato,0,Chianciano Terme,SYSTEM,
JUHALSKMJQ,43.8523387,10.4467849,Attivo,200817,Non presente,Verificato,0,Lucca,lucamonte,~B3~~B20~
GCBKEUAQPW,42.4228315,11.441166,Attivo,200818,Non presente,Non verificato,0,Capalbio,SYSTEM,
BYTHSFFYMN,43.4727651,11.145179,Attivo,200819,Non presente,Non verificato,0,Poggibonsi,SYSTEM,
STVLWBENQV,43.9508268,10.8987303,Attivo,200820,Non presente,Verificato,0,Pistoia,Leobwh,
OADCPKURKE,43.982579,10.888242,Attivo,200821,Non presente,Non verificato,0,Pistoia,SYSTEM,
BRIQVSWDWD,43.5541835,10.307685,Attivo,200822,Non presente,Non verificato,0,Livorno,SYSTEM,
GMCLHGHLWC,43.8892653,10.5533493,Attivo,200823,Non presente,Verificato,0,Capannori,lucamonte,~B3~~B20~
NRUGENGJWY,44.02219,10.091845,Attivo,200824,Non presente,Verificato,0,MS-RICORTOLA,EBts-Mapper,~B3~
KKFTAAPCXE,43.8324155,11.1940118,Attivo,200825,Non presente,Verificato,0,Sesto Fiorentino,Leobwh,~B20~
YXNWLTKKQJ,44.172811,8.332492,Attivo,200826,Non presente,Non verificato,0,Finale Ligure,SYSTEM,
XELSYLTOYV,44.007412,10.906931,Attivo,200827,Non presente,Non verificato,0,Castagno,SYSTEM,
OEKNVFAXLU,44.398765,8.940231,Attivo,200828,Non presente,Non verificato,0,Genova,SYSTEM,
AVKUMOENYY,43.7642963,11.212104,Attivo,200829,Non presente,Non verificato,0,Firenze,SYSTEM,
KVDDTFEMSU,44.044266,10.029818,Attivo,200830,Non presente,Verificato,0,MARINA DI CARRARA,EBts-Mapper,~B3~~B20~
AMXLOXYNNB,43.326921,10.515827,Attivo,200831,Non presente,Non verificato,0,Cecina,SYSTEM,
JQUEAETIUU,43.841125,10.500617,Attivo,200832,201263,Verificato,0,Lucca,EBts-Mapper,~B3~~B20~
FQYQSKDETB,43.8976036,10.913832,Attivo,200833,Non presente,Non verificato,0,Pistoia,SYSTEM,
DQRRCYSILP,43.850688,10.327656,Attivo,200834,Non presente,Non verificato,0,Massarosa,SYSTEM,
BONTTNMCQJ,43.8642187,10.7595366,Attivo,200835,Non presente,Verificato,0,Buggiano,lucamonte,
QTSETASKRE,43.0224938,10.599897,Attivo,200836,Non presente,Non verificato,0,Venturina Terme,SYSTEM,
LQRBICTOLN,43.5989713,10.43289,Attivo,200837,Non presente,Verificato,0,Collesalvetti,SYSTEM,~B20~
TBKLSSVJVD,43.2611538,11.975415,Attivo,200838,Non presente,Non verificato,0,Camucia,SYSTEM,
FEYELFYOXA,43.6209578,11.47915,Attivo,200839,Non presente,Non verificato,0,Figline Valdarno,SYSTEM,
GKRHCRCMKV,43.837312,10.507618,Attivo,200840,Non presente,Verificato,0,Lucca,EBts-Mapper,~B3~~B20~
SGKULPDEGW,43.2930296,10.51563,Attivo,200841,Non presente,Non verificato,0,Cecina,SYSTEM,
CLEBTMGOOE,43.923175,10.518973,Attivo,200842,Non presente,Non verificato,0,Lucca,SYSTEM,
NWGMBKVHWS,43.8133213,10.6729698,Attivo,200843,Non presente,Verificato,0,Altopascio,lucamonte,
JNPCOTPNHK,42.9761055,10.545537,Attivo,200844,Non presente,Non verificato,0,Piombino,SYSTEM,
QXRUAWUXJQ,43.796254,11.224812,Attivo,200845,Non presente,Non verificato,0,Firenze,SYSTEM,
THYMYOOPBG,43.7786103,11.273945,Attivo,200846,Non presente,Non verificato,0,Firenze,SYSTEM,
YQEQLDRXMG,43.7606926,11.202706,Attivo,200847,Non presente,Non verificato,0,Firenze,SYSTEM,
IFWCPNHEPQ,43.4242653,11.831363,Attivo,200848,Non presente,Non verificato,0,Arezzo,SYSTEM,
VQCTJXRPCW,44.3337176,8.5162916,Attivo,200849,Non presente,Non verificato,0,Albisola Superiore,SYSTEM,
UNHUDIYLKM,43.838948,10.499022,Attivo,200850,Non presente,Non verificato,0,Lucca,SYSTEM,
URCSFLPMWN,43.8714478,10.8150504,Attivo,200851,Non presente,Verificato,0,Monsummano Terme,lucamonte,
XFFOPVMWYQ,43.7801003,11.361079,Attivo,200852,Non presente,Non verificato,0,Vallina,SYSTEM,
RMOVEFHBYH,43.3084655,11.317457,Attivo,200853,Non presente,Non verificato,0,Siena,SYSTEM,
XSMFWQSYYX,43.8838991,10.688774,Attivo,200854,Non presente,Non verificato,0,Pescia,SYSTEM,
NKXQIVEOOM,43.782039,11.161895,Attivo,200855,Non presente,Non verificato,0,Mantignano,SYSTEM,
MIBALMCNJH,43.8188385,11.24444,Attivo,200856,Non presente,Non verificato,0,Firenze,SYSTEM,
MDJMGWKKEJ,43.9022,10.244,Attivo,200857,Non presente,Verificato,0,LIDO DI CAMAIORE CENTRO,EBts-Mapper,~B3~~B20~
SPFHMNVRLF,44.1887086,8.2887096,Attivo,200858,Non presente,Non verificato,0,Olle-viotti,SYSTEM,
CRJAUQRDUP,43.5890313,10.467813,Attivo,200859,Non presente,Non verificato,0,Collesalvetti,SYSTEM,
BRYXEHVKXN,44.2751225,9.404948,Attivo,200860,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
VSVUCHNLRC,43.8150391,7.56197774,Attivo,200861,Non presente,Verificato,0,Ventimiglia,djandrea,~B20~
UHEHKISXFF,44.366697,8.6023153,Attivo,200862,Non presente,Non verificato,0,Varazze,SYSTEM,
TKSVBIFDEK,43.7929967,7.60649633,Attivo,200863,Non presente,Verificato,0,Ventimiglia,djandrea,~B20~
OOFMLSGKDD,43.905761,10.2239,Attivo,200864,Non presente,Non verificato,0,Camaiore,SYSTEM,
COSUVUIQCH,43.6329186,11.068955,Attivo,200866,Non presente,Non verificato,0,Montespertoli,SYSTEM,
BUYAWUGLFQ,42.698985,11.000136,Attivo,200867,Non presente,Non verificato,0,Grosseto,SYSTEM,
JPIVIGTLNN,44.032924,10.094744,Attivo,200868,Non presente,Verificato,0,MS-UNNI,EBts-Mapper,~B3~
NVLKHPXLLJ,43.8955826,10.229862,Attivo,200869,Non presente,Non verificato,0,Camaiore,SYSTEM,
AUWQLQGKGJ,44.0312415,10.12121,Non attivo,200870,Non presente,Non verificato,0,Massa,SYSTEM,
HIAEDKSEYP,43.1769903,10.543826,Attivo,200871,Non presente,Non verificato,0,Marina di Castagneto Carducci,SYSTEM,
INECBGHYQK,43.9944997,11.369882,Attivo,200872,Non presente,Non verificato,0,Scarperia,SYSTEM,
XBLQNUBEOJ,44.3560546,8.567059,Attivo,200873,Non presente,Non verificato,0,Varazze,SYSTEM,
DSNOIGWDYI,44.257096,9.427946,Attivo,200874,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
FCKGUWPRNN,44.483104,8.899651,Attivo,200875,Non presente,Non verificato,0,Genova,SYSTEM,
WXFFLJCXFC,43.4780033,11.801546,Attivo,200876,Non presente,Non verificato,0,Indicatore,SYSTEM,
PFOKUAOPDM,43.845624,10.511749,Attivo,200877,Non presente,Verificato,0,Lucca,EBts-Mapper,~B3~~B20~
TRLKVVNRYT,43.844325,10.502866,Attivo,200878,Non presente,Verificato,0,Lucca,EBts-Mapper,~B3~~B20~
TMUSIMMCOJ,43.3340235,11.324418,Attivo,200879,Non presente,Non verificato,0,Siena,SYSTEM,
MWQIPMCFQP,43.587607,10.960409,Attivo,200880,Non presente,Non verificato,0,Montaione,SYSTEM,
ILCPORTUHR,44.362062,8.3106226,Attivo,200881,Non presente,Non verificato,0,Ferrania,SYSTEM,
JHKYKDKDPI,43.93532,10.918051,Attivo,200882,Non presente,Non verificato,0,Pistoia,SYSTEM,
RHXYRUVGIT,43.92444,10.918916,Attivo,200883,Non presente,Non verificato,0,Pistoia,SYSTEM,
GPEXPWBYWX,43.7086115,10.680508,Attivo,200884,Non presente,Non verificato,0,Santa Maria A Monte,SYSTEM,
HETVVQJWGN,44.353327,9.2197705,Attivo,200885,Non presente,Non verificato,0,Rapallo,SYSTEM,
SVJKQQQMAW,43.7923827,7.5562607,Attivo,200887,Non presente,Verificato,0,Latte,djandrea,~B20~
NDSIWMYMMC,44.1601092,8.29465472,Attivo,200888,Non presente,Verificato,0,Pietra Ligure,AlexTies,
AVWIULSECN,43.5720171,12.130468,Attivo,200889,Non presente,Non verificato,0,Sansepolcro,SYSTEM,
QDAXXILKTT,43.8938933,11.086112,Attivo,200890,Non presente,Non verificato,0,Prato,SYSTEM,
STJXVDLREF,42.435905,11.167452,Attivo,200891,Non presente,Verificato,0,Giannella,Umberto,
AHKHFTRBMO,43.726892,11.769454,Attivo,200892,Non presente,Non verificato,0,Poppi,SYSTEM,
WTGNMOOBGA,43.5534453,11.541765,Attivo,200893,Non presente,Non verificato,0,San Giovanni Valdarno,SYSTEM,
LKEOVMHUQS,43.8849025,11.086238,Attivo,200894,Non presente,Non verificato,0,Prato,SYSTEM,
FQTLSBTIPX,43.720183,10.397008,Attivo,200895,Non presente,Non verificato,0,Pisa,SYSTEM,
GSJMXBKHNE,43.7908207,7.62831052,Attivo,200896,Non presente,Verificato,0,Ventimiglia,djandrea,~B20~
RXFRGKKUHC,44.1266032,8.25249013,Attivo,200897,Non presente,Verificato,0,Loano,AlexTies,~B3~
AUAJCOULTF,43.421122,11.143044,Attivo,200898,Non presente,Non verificato,0,Poggibonsi,SYSTEM,
POALMXHKQJ,43.779083,11.267134,Attivo,200899,Non presente,Non verificato,0,Firenze,SYSTEM,
YCQSHUPHOC,43.5476315,11.037644,Attivo,200900,Non presente,Non verificato,0,Certaldo,SYSTEM,
QAQUBLQQSA,43.871928,10.500191,Attivo,200901,Non presente,Non verificato,0,Lucca,SYSTEM,
HAUNLWHDBD,43.6534103,11.015791,Attivo,200902,Non presente,Non verificato,0,Montespertoli,SYSTEM,
EYOOYDBDNN,44.2725045,9.3941295,Attivo,200903,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
EMOOGIXDHN,44.3115616,8.4773763,Attivo,200904,Non presente,Non verificato,0,Savona,SYSTEM,
VDPNBOONBY,43.4789906,11.868995,Attivo,200905,Non presente,Non verificato,0,Arezzo,SYSTEM,
EWVALYQVTB,43.520482,11.656215,Attivo,200906,Non presente,Non verificato,0,Terranuova Bracciolini,SYSTEM,
SJBHTSPYST,43.9287043,10.913786,Attivo,200907,Non presente,Non verificato,0,Pistoia,SYSTEM,
WSTATSTJGO,43.99193,10.14354,Attivo,200908,Non presente,Verificato,0,MS-FESCIONE,EBts-Mapper,~B3~
JRCACSCPYI,44.1777034,9.58876361,Attivo,200909,Non presente,Verificato,0,SP23 - BONASSOLA,itreb,~B20~
XFREXPAFBH,44.272128,9.4234613,Attivo,200910,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
PEKWUOJYWV,44.3274115,9.320732,Attivo,200911,Non presente,Non verificato,0,Chiavari,SYSTEM,
RWNQGYVPTN,44.2675406,9.4220363,Attivo,200912,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
FBIFDIQGNN,44.0801537,9.91599257,Attivo,200913,Non presente,Verificato,0,Lerici,itreb,
SSEINHPQSA,44.1782051,9.62261795,Attivo,200914,Non presente,Verificato,0,SP11S - LEVANTO,itreb,~B20~
IPCFHPESBR,44.1097992,9.84297476,Attivo,200915,Non presente,Verificato,0,SP-POPOLO,itreb,~B3~~B20~
SAMNFBDXDS,44.1485585,8.28185506,Attivo,200916,Non presente,Verificato,0,Pietra Ligure,AlexTies,
CVOBVHBBCT,44.0904095,9.90499702,Attivo,200917,Non presente,Verificato,0,SP4D - LERICI SOLARO,itreb,~B20~
LFOIMUTKYM,44.356152,9.2074266,Attivo,200918,Non presente,Non verificato,0,Rapallo,SYSTEM,
YBVJXOPOMF,44.3420285,9.22246,Attivo,200919,Non presente,Non verificato,0,Rapallo,SYSTEM,
NQCPXVRXWI,44.3482345,9.2429485,Attivo,200920,Non presente,Non verificato,0,Rapallo,SYSTEM,
EEWTLRYCGW,44.351099,9.164901,Attivo,200921,Non presente,Non verificato,0,Recco,SYSTEM,
VRQDIJFUNC,44.3586356,8.572744,Attivo,200922,Non presente,Non verificato,0,Varazze,SYSTEM,
VPQATQSFTX,44.3929885,8.2798545,Attivo,200923,Non presente,Non verificato,0,Cairo Montenotte,SYSTEM,
MDNDKNIIUY,43.7926809,7.57852288,Attivo,200924,Non presente,Verificato,0,Latte,djandrea,~B20~
QABPSJGPNI,44.0833997,9.90374001,Attivo,200925,Non presente,Verificato,0,SP95 - SAN TERENZO,itreb,~B3~
IKKTJQYPAU,44.0480136,9.84757348,Attivo,200926,Non presente,Verificato,0,Portovenere,itreb,~B3~~B20~
HRTLCOVBLM,44.32777,8.5029996,Attivo,200927,Non presente,Non verificato,0,Albissola Marina,SYSTEM,
JQOSWAOCPG,43.310151,10.51905,Attivo,200928,Non presente,Non verificato,0,Cecina,SYSTEM,
UXENPWTGJE,44.1535142,8.28723793,Attivo,200929,Non presente,Verificato,0,Pietra Ligure,AlexTies,
ASLETBKNES,44.435851,8.8673842,Attivo,200930,Non presente,Non verificato,0,Genova,SYSTEM,
FISKJXKSVH,43.8578357,7.88646724,Attivo,200931,Non presente,Verificato,0,Castellaro,djandrea,~B20~
LGBPNHDFDG,43.8369012,11.1960261,Attivo,200932,Non presente,Verificato,0,Sesto Fiorentino,Leobwh,~B3~~B20~
PRRWGCEARD,43.8638633,10.48321,Attivo,200933,Non presente,Non verificato,0,Lucca,SYSTEM,
HHRARPFPRY,43.7087816,10.777022,Attivo,200934,Non presente,Non verificato,0,Santa Croce sull Arno,SYSTEM,
DCNYHQVJAX,44.4011585,8.275338,Attivo,200935,Non presente,Non verificato,0,Cairo Montenotte,SYSTEM,
MGIPCMHIQT,43.7032406,11.45665,Attivo,200936,Non presente,Non verificato,0,Reggello,SYSTEM,
MEVTSDHLVL,43.70898,10.405005,Attivo,200937,Non presente,Non verificato,0,Pisa,SYSTEM,
JMSGOGESTJ,43.623978,10.630624,Attivo,200938,Non presente,Non verificato,0,Ponsacco,SYSTEM,
FUMEDVRHLB,43.6525896,11.291731,Attivo,200939,Non presente,Non verificato,0,Greve in Chianti,SYSTEM,
YNRLRCRDAP,44.3787215,9.155256,Attivo,200941,Non presente,Non verificato,0,Recco,SYSTEM,
NWHRLYUGEK,44.4016995,8.6401205,Attivo,200942,Non presente,Non verificato,0,Chiappino,SYSTEM,
EOGUPRSTYM,42.734481,11.192543,Attivo,200943,Non presente,Non verificato,0,Grosseto,SYSTEM,
GKXOTQVOYU,43.8371239,7.85147152,Attivo,200944,Non presente,Verificato,0,Taggia,djandrea,~B3~
FBGRKWHVLW,43.958158,10.167766,Attivo,200945,Non presente,Verificato,0,Forte dei Marmi,EBts-Mapper,~B7~~B3~~B20~
OYGAVEOLFS,43.95714,10.171161,Attivo,200945/101,Non presente,Verificato,2,Forte dei Marmi,SYSTEM,~B7~
DXFDYMSODR,43.960135,10.169614,Attivo,200945/107,Non presente,Verificato,2,Forte dei Marmi,SYSTEM,~B7~
VETEABVKYA,42.803779,10.194373,Attivo,200946,Non presente,Non verificato,0,Marciana Marina,SYSTEM,
IYDBJIWIHT,43.7818324,10.6675448,Attivo,200947,Non presente,Verificato,0,Corte Rossi,lucamonte,~B20~
BWVLKRFVGN,43.9178472,10.9653673,Attivo,200948,Non presente,Verificato,0,Pistoia,Leobwh,
ENCERNIUHK,43.6812976,11.527006,Attivo,200949,Non presente,Non verificato,0,Reggello,SYSTEM,
CABSFVKGKA,43.2109205,11.754163,Attivo,200950,Non presente,Non verificato,0,Montemartino,SYSTEM,
IKNVPMWSIF,43.7594315,11.509929,Attivo,200951,Non presente,Non verificato,0,Pelago,SYSTEM,
DCJGJJTNOG,42.7636405,10.885443,Attivo,200952,Non presente,Non verificato,0,Castiglione della Pescaia,SYSTEM,
YQWEHQMDKC,43.0315328,10.877155,Attivo,200953,Non presente,Non verificato,0,Massa Marittima,SYSTEM,
SIEBPHMHUW,43.2409835,10.529844,Attivo,200954,Non presente,Non verificato,0,Marina di Bibbona,SYSTEM,
VPCLEFRYAB,42.925482,10.527743,Attivo,200955,Non presente,Non verificato,0,Piombino,SYSTEM,
DFIMLWFMBG,43.9164113,10.964189,Non attivo,200956,Non presente,Non verificato,0,Pistoia,SYSTEM,
OMGSGLKIGF,44.334651,8.5124283,Attivo,200957,Non presente,Non verificato,0,Albisola Superiore,SYSTEM,
YFXTAUWBNU,44.3807066,9.0671603,Attivo,200958,Non presente,Non verificato,0,Bogliasco,SYSTEM,
LWGUGQEHCS,44.611313,8.9521115,Attivo,200959,Non presente,Non verificato,0,Ronco Scrivia,SYSTEM,
NITKUFLLPX,44.1511154,9.91460001,Attivo,200960,Non presente,Verificato,0,SP20 - S.STEFANO MAGRA,itreb,~B3~
POXUYTCITA,44.2264386,8.415431,Attivo,200961,Non presente,Non verificato,0,Spotorno,SYSTEM,
FSREBEHQSH,43.8169544,10.685517,Attivo,200962,Non presente,Verificato,0,Altopascio,lucamonte,
DCQOVDUNOS,42.4006875,11.204384,Attivo,200963,Non presente,Non verificato,0,Poggio Pertuso,SYSTEM,
MKPLQPPNAM,42.5612226,11.170263,Attivo,200964,Non presente,Non verificato,0,Orbetello,SYSTEM,
JTBAHFJJEX,43.312047,10.488115,Attivo,200965,Non presente,Non verificato,0,Cecina,SYSTEM,
NHMCAWTCQA,42.418086,11.299423,Attivo,200966,Non presente,Non verificato,0,Orbetello,SYSTEM,
FFIBKCVRLE,42.4368005,11.12047,Attivo,200968,Non presente,Non verificato,0,Porto Santo Stefano,SYSTEM,
LGSEEGDKGU,43.0023106,11.960097,Attivo,200969,Non presente,Non verificato,0,Chiusi Scalo,SYSTEM,
BBQLIWOMLH,43.5842886,11.320916,Attivo,200970,Non presente,Non verificato,0,Greve in Chianti,SYSTEM,
XLLPVTURXB,43.880372,10.725649,Attivo,200971,Non presente,Non verificato,0,Borgo A Buggiano,SYSTEM,
QQXYIXGHMC,43.7015833,10.750218,Attivo,200972,Non presente,Non verificato,0,Castelfranco di Sotto,SYSTEM,
CVNJERBOKO,43.6062876,10.399906,Attivo,200973,Non presente,Non verificato,0,Interporto Amerigo Vespucci,SYSTEM,
NMFVGHEUBS,43.5940775,10.701336,Attivo,200975,Non presente,Non verificato,0,Palaia,SYSTEM,
VQWXTONYYQ,43.8027118,10.892745,Attivo,200976,Non presente,Non verificato,0,Lamporecchio,SYSTEM,
MGNQTTOALR,43.8416876,7.88383788,Attivo,200977,Non presente,Verificato,0,Riva Ligure,djandrea,~B3~
SFVJQQUWGO,44.383338,9.038363,Attivo,200978,Non presente,Non verificato,0,Genova,SYSTEM,
YMMHLCKCRD,44.274277,9.402016,Attivo,200979,Non presente,Non verificato,0,Sestri Levante,SYSTEM,
XQTWOTOVMK,44.374599,9.8782412,Attivo,200980,Non presente,Verificato,0,PONTREMOLI,itreb,
GRECPSUYRW,44.222275,9.961875,Attivo,200981,Non presente,Non verificato,0,Aulla,SYSTEM,
MNPHJNGNRW,44.408949,8.9913095,Attivo,200982,Non presente,Non verificato,0,Genova,SYSTEM,
XODOEUFCYK,44.4119697,8.9732787,Attivo,200984,Non presente,Non verificato,0,Genova,SYSTEM,
MHHTJJRSFV,44.1287592,8.26092333,Attivo,200985,Non presente,Verificato,1,Loano,AlexTies,~B3~
HDNHJJABJC,43.8317021,7.85528474,Attivo,200986,Non presente,Verificato,0,Taggia,djandrea,~B3~
DMWDOMUXKD,44.34489,8.5443566,Attivo,200987,Non presente,Non verificato,0,Celle Ligure,SYSTEM,
IPJCRFBCPD,43.841529,10.490893,Attivo,200988,Non presente,Verificato,0,Lucca,EBts-Mapper,~B20~
OCPFTCUUKX,43.710637,11.058118,Attivo,200991,Non presente,Non verificato,0,Lastra a Signa,SYSTEM,
